Date,Open,High,Low,Close ,Adj Close ,Volume
"Nov 1, 2011",6.22,6.47,5.36,5.78,3.89,"342,366,800"
"Oct 1, 2011",5.75,6.66,5.54,6.39,4.3,"315,085,600"
"Sep 1, 2011",5.96,6.27,5.39,5.78,3.89,"262,391,600"
"Aug 1, 2011",5.95,6.01,4.59,5.98,4.03,"469,022,800"
"Jul 1, 2011",6.68,6.95,5.75,5.89,3.97,"329,091,200"
"Jun 1, 2011",6.98,7.01,6.41,6.67,4.49,"270,106,000"
"May 1, 2011",6.54,7.16,6.14,6.99,4.71,"357,607,200"
"Apr 1, 2011",5.67,6.74,5.62,6.42,4.32,"477,108,800"
"Mar 1, 2011",4.99,5.7,4.86,5.63,3.79,"376,369,600"
"Feb 1, 2011",5.28,5.3,4.8,4.99,3.36,"338,633,600"
"Jan 1, 2011",5.77,5.81,5.03,5.27,3.55,"325,745,600"
"Dec 1, 2010",5.05,5.75,4.97,5.72,3.85,"257,106,000"
"Nov 1, 2010",4.93,5.53,4.79,4.98,3.35,"336,137,200"
"Oct 1, 2010",4.99,5.15,4.48,4.91,3.31,"315,401,600"
"Sep 1, 2010",4.54,5.05,4.51,4.93,3.32,"252,234,400"
"Aug 1, 2010",5.06,5.37,4.43,4.48,3.02,"317,646,400"
"Jul 1, 2010",4.67,5.25,4.56,5.01,3.37,"321,853,200"
"Jun 1, 2010",5.65,5.68,4.49,4.7,3.16,"532,432,000"
"May 1, 2010",6.15,6.33,5.07,5.7,3.84,"476,693,600"
"Apr 1, 2010",5.48,6.44,5.48,6.08,4.09,"479,321,200"
"Mar 1, 2010",4.32,5.57,4.32,5.48,3.69,"552,038,800"
"Feb 1, 2010",4.99,5.14,4.28,4.3,2.9,"388,642,400"
"Jan 1, 2010",5.52,6.03,4.86,4.94,3.33,"572,589,200"
"Dec 1, 2009",6.16,6.2,5.17,5.49,3.69,"470,174,800"
"Nov 1, 2009",6.11,6.51,5.86,6.1,4.11,"352,560,000"
"Oct 1, 2009",6.64,7.16,5.98,6.07,4.09,"445,640,000"
"Sep 1, 2009",5.91,6.83,5.74,6.62,4.46,"339,705,600"
"Aug 1, 2009",5.51,6.66,5.51,5.95,4.01,"540,396,000"
"Jul 1, 2009",5.57,6.06,5.01,5.47,3.68,"397,174,000"
"Jun 1, 2009",6.29,6.63,5.11,5.5,3.7,"427,005,200"
"May 1, 2009",7.53,7.57,5.46,6.24,4.2,"482,724,400"
"Apr 1, 2009",7.14,8.2,6.89,7.54,5.08,"339,182,400"
"Mar 1, 2009",6.59,7.24,5.45,7.01,4.72,"439,219,600"
"Feb 1, 2009",6.13,7.27,6.06,6.73,4.53,"261,292,800"
"Jan 1, 2009",5.43,7.06,5.26,6.2,4.17,"317,016,000"
"Dec 1, 2008",5.41,6.63,4.5,5.41,3.65,"265,193,600"
"Nov 1, 2008",6.95,7,4.23,5.46,3.68,"256,122,400"
"Oct 1, 2008",8.47,9.6,6.02,6.85,4.61,"318,121,600"
"Sep 1, 2008",11.09,11.59,8.2,8.55,5.76,"298,095,600"
"Aug 1, 2008",10.22,11.92,9.7,10.97,7.38,"255,584,400"
"Jul 1, 2008",10.01,11.45,9.4,10.13,6.82,"292,481,600"
"Jun 1, 2008",12.35,12.47,10.07,10.1,6.8,"335,273,200"
"May 1, 2008",13.81,14.3,11.03,12.4,8.35,"309,446,400"
"Apr 1, 2008",13.18,14.78,13.18,13.76,9.26,"217,386,400"
"Mar 1, 2008",10.57,13.69,10.19,12.93,8.7,"285,318,400"
"Feb 1, 2008",12.96,13.75,10.57,10.59,7.13,"251,404,000"
"Jan 1, 2008",15.54,15.57,11.19,12.89,8.68,"349,322,400"
"Dec 1, 2007",14.5,15.94,14.03,15.53,10.45,"287,045,200"
"Nov 1, 2007",14.69,15.13,11.86,14.36,9.67,"276,654,400"
"Oct 1, 2007",14.18,15.2,13.31,14.81,9.97,"200,364,400"
"Sep 1, 2007",12.63,14.81,11.86,14.09,9.49,"200,031,600"
"Aug 1, 2007",10.06,12.63,9.35,12.53,8.44,"274,261,600"
"Jul 1, 2007",9.79,11,9.78,10.09,6.79,"150,386,400"
"Jun 1, 2007",9.28,10.29,9.05,9.77,6.58,"166,456,000"
"May 1, 2007",8.35,9.47,8.08,9.24,6.22,"235,988,000"
"Apr 1, 2007",8.16,8.96,8.14,8.29,5.58,"136,570,000"
"Mar 19, 2007",2:1 Stock Splits ,,,,,
"Mar 1, 2007",6.41,8.24,6.24,8.14,5.48,"184,286,400"
"Feb 1, 2007",6.71,7.02,6.39,6.55,4.41,"145,851,200"
"Jan 1, 2007",6.89,7.3,6.39,6.68,4.5,"202,434,400"
"Dec 1, 2006",6.99,7.3,6.74,6.89,4.64,"153,799,200"
"Nov 1, 2006",6.4,7.15,6.13,7.01,4.72,"272,678,400"
"Oct 1, 2006",5.84,6.59,5.7,6.38,4.3,"195,680,000"
"Sep 1, 2006",5.47,6.22,5.3,5.78,3.9,"248,729,600"
"Aug 1, 2006",5.19,5.91,5.01,5.46,3.68,"253,100,800"
"Jul 1, 2006",5.06,5.32,4.52,5.2,3.5,"221,405,600"
"Jun 1, 2006",5.37,5.55,4.48,5.25,3.53,"288,898,400"
"May 1, 2006",5.91,6.06,5.16,5.37,3.61,"219,624,800"
"Apr 1, 2006",5.89,6.21,5.74,5.9,3.97,"131,270,400"
"Mar 1, 2006",5.01,5.99,4.66,5.89,3.97,"187,233,600"
"Feb 1, 2006",5.04,5.45,4.91,5,3.37,"145,452,000"
"Jan 1, 2006",3.98,5.14,3.89,5.04,3.39,"271,470,400"
"Dec 1, 2005",4.2,4.46,3.78,3.98,2.68,"260,856,800"
"Nov 1, 2005",4.43,4.77,4.15,4.2,2.83,"297,994,400"
"Oct 1, 2005",3.97,4.68,3.74,4.43,2.99,"287,721,600"
"Sep 1, 2005",4.21,4.8,3.83,3.93,2.65,"144,669,600"
"Aug 1, 2005",4.32,4.39,3.58,4.22,2.84,"169,327,200"
"Jul 1, 2005",4.09,4.52,4,4.29,2.89,"87,517,600"
"Jun 1, 2005",3.65,4.29,3.61,4.09,2.75,"143,957,600"
"May 1, 2005",3.09,3.89,3.08,3.64,2.45,"117,556,800"
"Apr 1, 2005",2.8,3.21,2.59,3.08,2.07,"153,875,200"
"Mar 1, 2005",2.45,2.95,2.42,2.77,1.87,"89,470,400"
"Feb 1, 2005",2.38,2.51,2.32,2.43,1.63,"38,334,400"
"Jan 1, 2005",2.87,2.87,2.32,2.39,1.61,"100,608,000"
"Dec 1, 2004",2.65,2.83,2.56,2.8,1.88,"70,560,000"
"Nov 1, 2004",2.45,2.94,2.45,2.64,1.77,"162,772,800"
"Oct 1, 2004",2.32,2.56,2.28,2.45,1.65,"61,368,000"
"Sep 1, 2004",2.1,2.34,2.1,2.31,1.56,"26,284,000"
"Aug 1, 2004",1.91,2.2,1.81,2.1,1.41,"38,278,400"
"Jul 1, 2004",1.9,1.99,1.8,1.92,1.3,"37,876,800"
"Jun 1, 2004",1.95,2.04,1.81,1.9,1.28,"58,974,400"
"May 1, 2004",2.2,2.31,1.89,1.95,1.31,"42,941,600"
"Apr 1, 2004",2.25,2.34,2.17,2.2,1.48,"22,870,400"
"Mar 1, 2004",2.33,2.34,2.06,2.25,1.52,"40,265,600"
"Feb 1, 2004",2.13,2.37,2.01,2.33,1.57,"39,747,200"
"Jan 1, 2004",1.98,2.36,1.88,2.08,1.4,"55,928,000"
